"N","mu","qmin","Bc (floor)","Bc (ceiling)"
250.,0.0025,0.8,2209.0356007686632,2219.3804975724897
500.,0.0025,0.8,2600.9353056012565,2627.7220908541535
750.,0.0025,0.8,2858.634841225045,2895.7648659177557
1000.,0.0025,0.8,3044.745083722219,3089.851628734453
1250.,0.0025,0.8,3188.985662590544,3240.5835363526967
1500.,0.0025,0.8,3305.8915693067597,3362.9550239634464
1750.,0.0025,0.8,3403.6203325903634,3465.396117345575
2000.,0.0025,0.8,3487.195534791234,3553.1062364464274
4000.,0.0025,0.8,3898.1754677917756,3985.862718922027
8000.,0.0025,0.8,4258.247821582379,4367.040283211977
16000.,0.0025,0.8,4558.645706326128,4686.5331762061805
