"N","mu","qmin","Bc (floor)","Bc (ceiling)"
1000.,0.001,0.8,11295.585599519602,11317.209288372595
1000.,0.002,0.8,4282.466909633817,4323.55110226591
1000.,0.003,0.8,2276.2793014341587,2323.4602152800326
1000.,0.004,0.8,1451.9200176288543,1495.7640376524657
1000.,0.005,0.8,990.3491640756886,1032.8681619907507
1000.,0.0015,0.8,6468.543784482588,6504.436440914199
1000.,0.0025,0.8,3044.745083722219,3089.851628734453
1000.,0.0035,0.8,1805.1368706654757,1849.6743782076016
1000.,0.0045,0.8,1173.3573748676756,1218.1414299493338
1000.,0.00075,0.8,16432.06726091072,16442.589164495614
1000.,0.00125,0.8,8352.411903330707,8382.196941518296
1000.,0.00175,0.8,5203.014478218977,5241.679157503852
1000.,0.00225,0.8,3598.672286656244,3641.0445735382646
1000.,0.00275,0.8,2627.6804548961973,2673.346826444316
1000.,0.00325,0.8,2022.2268180580452,2067.8082538240556
1000.,0.00375,0.8,1568.8082829651937,1617.0273581759307
1000.,0.00425,0.8,1305.2293454555697,1349.3472407038137
1000.,0.00475,0.8,1053.4165310226713,1099.2611215097058
