"N","mu","qmin","Bc (floor)","Bc (ceiling)"
1000.,0.0025,0.6,5562.843543196282,5561.981256793823
1000.,0.0025,0.7,4275.212028514097,4290.842587384297
1000.,0.0025,0.8,3044.745083722219,3089.851628734453
1000.,0.0025,0.9,1674.4693591848386,1773.6826454696884
1000.,0.0025,0.56,6143.992802303793,6138.316586137792
1000.,0.0025,0.58,5846.822882180331,5843.374304451554
1000.,0.0025,0.62,5290.297604319757,5291.818248127321
1000.,0.0025,0.64,5024.460748542259,5029.417699564656
1000.,0.0025,0.66,4769.501075174366,4777.572755136303
1000.,0.0025,0.68,4520.623938029328,4532.223038034723
1000.,0.0025,0.72,4030.557876927258,4050.8381159056485
1000.,0.0025,0.74,3783.7657513616177,3809.4585689429045
1000.,0.0025,0.76,3531.6338628569106,3563.6880683666877
1000.,0.0025,0.78,3310.1124153966052,3346.809422856542
1000.,0.0025,0.82,2818.0662791282025,2869.2916484464986
1000.,0.0025,0.84,2526.0456453013458,2588.7326208055724
1000.,0.0025,0.86,2283.817478840437,2354.8772081412994
1000.,0.0025,0.88,1946.6221744354475,2033.8721576952748
1000.,0.0025,0.92,1387.260577679659,1500.3345803823565
1000.,0.0025,0.94,1081.1241284633952,1210.3993991483771
1000.,0.0025,0.96,751.3384888418815,899.7535999890071
